step,timestamp,client_id,base_station_id,slice,active,app_type,x,y
0,2025-05-27 18:24:12,0,2,mMTC,0,smart meters,134.994202237099,285.12344253836665
0,2025-05-27 18:24:12,1,0,eMBB,0,video streaming,660.0700915949326,284.3481803746572
0,2025-05-27 18:24:12,2,4,URLLC,1,industrial automation,507.59563572105736,644.9817751914579
0,2025-05-27 18:24:12,3,1,mMTC,0,IoT sensors,195.04909780947602,744.1953986826747
0,2025-05-27 18:24:12,4,4,mMTC,1,asset tracking,413.95732999513064,644.1987326998549
0,2025-05-27 18:24:12,5,3,mMTC,1,smart meters,974.7703312718696,583.7561110184479
0,2025-05-27 18:24:12,6,0,mMTC,1,asset tracking,684.2347444379561,171.42199534476782
0,2025-05-27 18:24:12,7,5,mMTC,1,IoT sensors,146.89985552532588,638.8421937040185
0,2025-05-27 18:24:12,8,4,URLLC,0,industrial automation,541.9436409602305,646.3762807397883
0,2025-05-27 18:24:12,9,2,eMBB,1,file download,133.5635594149619,324.8619575786555
0,2025-05-27 18:24:12,10,0,eMBB,0,AR/VR,596.9783674126286,150.87656163839284
0,2025-05-27 18:24:12,11,1,eMBB,1,video streaming,118.36057767852523,767.1415540365581
0,2025-05-27 18:24:12,12,3,eMBB,0,AR/VR,914.584775771983,448.9496312353733
0,2025-05-27 18:24:12,13,1,eMBB,1,file download,136.1079701457786,731.1849582405754
0,2025-05-27 18:24:12,14,0,eMBB,1,video streaming,522.9353803286301,165.09109559240255
0,2025-05-27 18:24:12,15,5,URLLC,1,industrial automation,128.47518205108264,619.4768970593594
0,2025-05-27 18:24:12,16,1,eMBB,0,video streaming,204.9195626903528,896.159126652129
0,2025-05-27 18:24:12,17,5,eMBB,1,AR/VR,186.6765281591995,830.0824743360172
0,2025-05-27 18:24:12,18,0,eMBB,0,AR/VR,583.6207921332265,135.50947402468648
0,2025-05-27 18:24:12,19,4,eMBB,1,video streaming,549.7063674795636,793.5395546298796
0,2025-05-27 18:24:12,20,0,eMBB,0,video streaming,583.8409512282636,337.05885336723594
0,2025-05-27 18:24:12,21,5,eMBB,1,AR/VR,195.03349506969013,620.9605805459821
0,2025-05-27 18:24:12,22,3,URLLC,1,industrial automation,796.1933115278719,505.92292196777555
0,2025-05-27 18:24:12,23,5,eMBB,1,file download,165.60989655734215,760.6105128426186
0,2025-05-27 18:24:12,24,4,eMBB,0,file download,436.80285321817666,751.4632730310256
0,2025-05-27 18:24:12,25,4,mMTC,1,smart meters,409.54822825427794,676.6036310960116
0,2025-05-27 18:24:12,26,4,mMTC,1,IoT sensors,540.5025955865049,743.0041701208994
0,2025-05-27 18:24:12,27,4,URLLC,1,remote surgery,486.30440325441333,686.1187567716046
0,2025-05-27 18:24:12,28,2,URLLC,0,industrial automation,332.8585530201875,320.48449410157315
0,2025-05-27 18:24:12,29,4,eMBB,1,file download,450.2685332741233,658.7548818650756
0,2025-05-27 18:24:12,30,0,mMTC,1,IoT sensors,492.92950995570965,230.85497545724135
0,2025-05-27 18:24:12,31,4,eMBB,0,file download,441.0703077761615,652.8713483996958
0,2025-05-27 18:24:12,32,2,URLLC,1,industrial automation,252.2351859102172,241.07054734495472
0,2025-05-27 18:24:12,33,5,URLLC,1,remote surgery,355.6748336082369,815.2916140505026
0,2025-05-27 18:24:12,34,1,URLLC,0,remote surgery,280.273339130761,798.0055523930598
0,2025-05-27 18:24:12,35,0,eMBB,1,file download,620.0394368469497,130.0041428305478
0,2025-05-27 18:24:12,36,4,eMBB,1,AR/VR,558.1796749957807,740.3933851367549
0,2025-05-27 18:24:12,37,2,mMTC,1,IoT sensors,199.5505265078671,296.73318613409134
0,2025-05-27 18:24:12,38,3,URLLC,0,remote surgery,778.6861543946578,390.6985160140813
0,2025-05-27 18:24:12,39,4,eMBB,1,AR/VR,447.79625090939044,641.549927706779
1,2025-05-27 18:29:12,0,2,mMTC,0,smart meters,134.994202237099,285.12344253836665
1,2025-05-27 18:29:12,1,0,eMBB,0,video streaming,660.0700915949326,284.3481803746572
1,2025-05-27 18:29:12,2,4,URLLC,1,industrial automation,507.59563572105736,644.9817751914579
1,2025-05-27 18:29:12,3,1,mMTC,0,IoT sensors,195.04909780947602,744.1953986826747
1,2025-05-27 18:29:12,4,4,mMTC,1,asset tracking,413.95732999513064,644.1987326998549
1,2025-05-27 18:29:12,5,3,mMTC,1,smart meters,974.7703312718696,583.7561110184479
1,2025-05-27 18:29:12,6,0,mMTC,1,asset tracking,684.2347444379561,171.42199534476782
1,2025-05-27 18:29:12,7,5,mMTC,1,IoT sensors,146.89985552532588,638.8421937040185
1,2025-05-27 18:29:12,8,4,URLLC,0,industrial automation,541.9436409602305,646.3762807397883
1,2025-05-27 18:29:12,9,2,eMBB,1,file download,133.5635594149619,324.8619575786555
1,2025-05-27 18:29:12,10,0,eMBB,0,AR/VR,596.9783674126286,150.87656163839284
1,2025-05-27 18:29:12,11,1,eMBB,1,video streaming,118.36057767852523,767.1415540365581
1,2025-05-27 18:29:12,12,3,eMBB,0,AR/VR,914.584775771983,448.9496312353733
1,2025-05-27 18:29:12,13,1,eMBB,0,file download,136.1079701457786,731.1849582405754
1,2025-05-27 18:29:12,14,0,eMBB,1,video streaming,522.9353803286301,165.09109559240255
1,2025-05-27 18:29:12,15,5,URLLC,1,industrial automation,128.47518205108264,619.4768970593594
1,2025-05-27 18:29:12,16,1,eMBB,1,video streaming,204.9195626903528,896.159126652129
1,2025-05-27 18:29:12,17,5,eMBB,0,AR/VR,186.6765281591995,830.0824743360172
1,2025-05-27 18:29:12,18,0,eMBB,0,AR/VR,583.6207921332265,135.50947402468648
1,2025-05-27 18:29:12,19,4,eMBB,1,video streaming,549.7063674795636,793.5395546298796
1,2025-05-27 18:29:12,20,0,eMBB,0,video streaming,583.8409512282636,337.05885336723594
1,2025-05-27 18:29:12,21,5,eMBB,1,AR/VR,195.03349506969013,620.9605805459821
1,2025-05-27 18:29:12,22,3,URLLC,1,industrial automation,796.1933115278719,505.92292196777555
1,2025-05-27 18:29:12,23,5,eMBB,1,file download,165.60989655734215,760.6105128426186
1,2025-05-27 18:29:12,24,4,eMBB,0,file download,436.80285321817666,751.4632730310256
1,2025-05-27 18:29:12,25,4,mMTC,1,smart meters,409.54822825427794,676.6036310960116
1,2025-05-27 18:29:12,26,4,mMTC,1,IoT sensors,540.5025955865049,743.0041701208994
1,2025-05-27 18:29:12,27,4,URLLC,0,remote surgery,486.30440325441333,686.1187567716046
1,2025-05-27 18:29:12,28,2,URLLC,0,industrial automation,332.8585530201875,320.48449410157315
1,2025-05-27 18:29:12,29,4,eMBB,1,file download,450.2685332741233,658.7548818650756
1,2025-05-27 18:29:12,30,0,mMTC,1,IoT sensors,492.92950995570965,230.85497545724135
1,2025-05-27 18:29:12,31,4,eMBB,0,file download,441.0703077761615,652.8713483996958
1,2025-05-27 18:29:12,32,2,URLLC,1,industrial automation,252.2351859102172,241.07054734495472
1,2025-05-27 18:29:12,33,5,URLLC,1,remote surgery,355.6748336082369,815.2916140505026
1,2025-05-27 18:29:12,34,1,URLLC,0,remote surgery,280.273339130761,798.0055523930598
1,2025-05-27 18:29:12,35,0,eMBB,1,file download,620.0394368469497,130.0041428305478
1,2025-05-27 18:29:12,36,4,eMBB,1,AR/VR,558.1796749957807,740.3933851367549
1,2025-05-27 18:29:12,37,2,mMTC,1,IoT sensors,199.5505265078671,296.73318613409134
1,2025-05-27 18:29:12,38,3,URLLC,0,remote surgery,778.6861543946578,390.6985160140813
1,2025-05-27 18:29:12,39,4,eMBB,1,AR/VR,447.79625090939044,641.549927706779
2,2025-05-27 18:34:12,0,2,mMTC,0,smart meters,134.994202237099,285.12344253836665
2,2025-05-27 18:34:12,1,0,eMBB,0,video streaming,660.0700915949326,284.3481803746572
2,2025-05-27 18:34:12,2,4,URLLC,1,industrial automation,507.59563572105736,644.9817751914579
2,2025-05-27 18:34:12,3,1,mMTC,0,IoT sensors,195.04909780947602,744.1953986826747
2,2025-05-27 18:34:12,4,4,mMTC,1,asset tracking,413.95732999513064,644.1987326998549
2,2025-05-27 18:34:12,5,3,mMTC,1,smart meters,974.7703312718696,583.7561110184479
2,2025-05-27 18:34:12,6,0,mMTC,1,asset tracking,684.2347444379561,171.42199534476782
2,2025-05-27 18:34:12,7,5,mMTC,1,IoT sensors,146.89985552532588,638.8421937040185
2,2025-05-27 18:34:12,8,4,URLLC,0,industrial automation,541.9436409602305,646.3762807397883
2,2025-05-27 18:34:12,9,2,eMBB,1,file download,133.5635594149619,324.8619575786555
